CymbaltaEpSO;cymbalta
AtivanEpSO;ativan
ThermalSeziureEpSO;thermal seziur;thermal seziure;thermal seizur;thermal seizure
HemisphericEpileptogenicZoneEpSO;hemispher epileptogen zone;hemispheric epileptogenic zone;hemisphere;hemispher
EpilepticSpasmStatusEpSO;epileptic spasm status;epilept spasm status
EscitalopramOxalateEpSO;escitalopram oxalate;escitalopram oxal
NormalEEGPatternEpSO;normal e e g pattern
OpipramolHydrochlorideEpSO;opipramol hydrochloride;opipramol hydrochlorid
ElectrodeT8EpSO;electrod t8;electrode t8
BrodmannArea3LeftParacentralLobuleAnteriorSegmentEpSO;anterior segment of brodmann area 3 left paracentral lobule;brodmann area 3 of anterior segment of left paracentr lobul;anterior segment of brodmann area 3 left paracentr lobul;brodmann area3 left paracentral lobule anterior segment;brodmann area 3 of anterior segment of left paracentral lobule;brodmann area3 left paracentr lobul anterior segment
PrometheganEpSO;promethegan
BetaActivityEpSO;beta activity;beta activ
GABRDEpSO;gamma-aminobutyr acid (gaba) a receptor, delta;gamma-aminobutyric acid (gaba) a receptor, delta;g a b r d
LeftMesialParietalLobeSegmentEpSO;left mesial pariet lobe segment;left mesial parietal lobe segment
ElectrodeTP7EpSO;electrode t p7;electrod t p7
TemporalOperculumEpSO;tempor operculum;temporo-opercular;facies supratemporalis;faci supratemporali;temporal operculum
FocalCorticalDysplasiaTypeIIIEpSO;focal cortical dysplasia type i i i;focal cortic dysplasia type i i i
ElectrodeFC2EpSO;electrode f c2;electrod f c2
ElectrodeA2EpSO;electrod a2;electrode a2
HorizantEpSO;horiz;horizant;rxcu i095698
ClonicSeizureEpSO;clonic seizure;clonic seizur
PosteriorFrontalLobeSegmentEpSO;posterior frontal lobe segment
AbdominalAuraStatusEpSO;abdominal aura status;abdomin aura status
RightBrainstemSegmentEpSO;right side of brainstem;right brainstem segment
ElectrodeAP6EpSO;electrode a p6;electrod a p6
CerebralPalsyEpSO;cerebral palsy;cerebr palsi
DextroamphetamineSaccharateEpSO;dextroamphetamin sacchar;dextroamphetamine saccharate
MetencephalonSegmentEpSO;segment of metencephalon;metencephalon subdivision;segment of metencephalon segment;metencephalon subdivis;metencephalon segment
PromethazineEpSO;promethazine;promethazin
