RFM4zJvoKLRdsir6FY0w37FENICS;r f m4z jvo k l rdsir6 f y0w37;sever increas in persist current;Sever increas in persist current@en-us;severe increase in persistent current@en-us;severe increase in persistent current
R8iqSYdEKz3pshaN6jwoBjgFENICS;mild-moderate deceleration or slowing in recovery from fast inactivation@en-us;mild-moder deceler or slow in recoveri from fast inactiv;Mild-moder deceler or slow in recoveri from fast inactivation@en-us;mild-moderate deceleration or slowing in recovery from fast inactivation;r8iq s yd e kz3psha n6jwo bjg
R7zP9gQPx3KzITlYDUOFZfpFENICS;normal voltage dependence of slow inactivation;Normal voltag depend of slow inactivation@en-us;r7z p9g q px3 kz i tl y d u o f zfp;normal voltage dependence of slow inactivation@en-us;normal voltag depend of slow inactiv
R6mSCTdmZqoFcoMx49ADHUFENICS;r6m s c tdm zqo fco mx49 a d h u;normal persistent current;normal persist current;Normal persist current@en-us;normal persistent current@en-us
R3Kr2TGkTE2Cs3wLLgOUHNFENICS;r3 kr2 t gk t e2 cs3w l lg o u h n;Mild-moder depolar shift of voltag depend of fast inactiv (right shift)@en-us;mild-moder depolar shift of voltag depend of fast inactiv (right shift);mild-moderate depolarizing shift of voltage dependence of fast inactivation (right shift)@en-us;mild-moderate depolarizing shift of voltage dependence of fast inactivation (right shift)
RD4l3irGmoY9l24tfaycvlFENICS;increase of decay in current amplitude in use dependence;r d4l3ir gmo y9l24tfaycvl;increase of decay in current amplitude in use dependence@en-us;Increas of decay in current amplitud in use dependence@en-us;increas of decay in current amplitud in use depend
RBOVqte4ccjmqTJAI8jkV44FENICS;r b o vqte4ccjmq t j a i8jk v44;Normal slope of activ (k)@en-us;normal slope of activ (k);normal slope of activation (k);normal slope of activation (k)@en-us
RByNptA431wiEbrBZa4Y14UFENICS;moderate increase in persistent current@en-us;moderate increase in persistent current;moder increas in persist current;Moder increas in persist current@en-us;r by npt a431wi ebr b za4 y14 u
R7jOR4IAP4IwniBv4AwBnrmFENICS;effect on peak current;effect on peak current@en-us;r7j o r4 i a p4 iwni bv4 aw bnrm
R8oN6Lr9gpAWFhWBexO3rhuFENICS;effect on voltag depend of fast inactiv (v1/2);Effect on voltag depend of fast inactiv (V1/2)@en-us;effect on voltage dependence of fast inactivation (v1/2);effect on voltage dependence of fast inactivation (v1/2)@en-us;r8o n6 lr9gp a w fh w bex o3rhu
R86071iVxOmUgj1ljXI9RwAFENICS;overal loss-of-funct;r86071i vx om ugj1lj x i9 rw a;overall loss-of-function;overall loss-of-function@en-us;Overal loss-of-function@en-us
R8elYee9oFnTyzGLbmLUaeOFENICS;effect on gating-por current;r8el yee9o fn tyz g lbm l uae o;Effect on gating-por current@en-us;effect on gating-pore current@en-us;effect on gating-pore current
RVDcHrv1yHMY8q3VkhEV9WFENICS;decreas in resurg current;Decreas in resurg current@en-us;r v dc hrv1i h m y8q3 vkh e v9 w;r v dc hrv1y h m y8q3 vkh e v9 w;decrease in resurgent current@en-us;decrease in resurgent current
RbjgdQVqMBklwux9sWTAClFENICS;rbjgd q vq m bklwux9s w t a cl;rbjgd q vq m bklwux9 w t a cl;severe depolarizing shift of voltage dependence of activation (right shift)@en-us;severe depolarizing shift of voltage dependence of activation (right shift);Sever depolar shift of voltag depend of activ (right shift)@en-us;sever depolar shift of voltag depend of activ (right shift)
