or_del_country	date(or_date_acquire)
DE	20.10.2016
NO	20.10.2016
NO	20.10.2016
DK	20.10.2016
DE	20.10.2016
DE	20.10.2016
DK	20.10.2016
DE	20.10.2016
DE	20.10.2016
CH	20.10.2016
DE	20.10.2016
ES	20.10.2016
ES	20.10.2016
NO	20.10.2016
DE	20.10.2016
DE	20.10.2016
PL	20.10.2016
DE	20.10.2016
DK	20.10.2016
AT	20.10.2016
AT	20.10.2016
NO	20.10.2016
NO	20.10.2016
DE	20.10.2016
ES	20.10.2016
SI	20.10.2016
DE	20.10.2016
SE	20.10.2016
NO	20.10.2016
DE	20.10.2016
NO	20.10.2016
DE	20.10.2016
KR	20.10.2016
CH	20.10.2016
SE	20.10.2016
NL	20.10.2016
SE	20.10.2016
DE	20.10.2016
DE	20.10.2016
SE	20.10.2016
IE	20.10.2016
NL	20.10.2016
DE	20.10.2016
DE	20.10.2016
ES	20.10.2016
NL	20.10.2016
DE	20.10.2016
FR	20.10.2016
DE	20.10.2016
DK	20.10.2016
NO	20.10.2016
NL	20.10.2016
ES	20.10.2016
NO	20.10.2016
CZ	20.10.2016
SE	20.10.2016
NL	20.10.2016
NL	20.10.2016
SE	20.10.2016
DE	20.10.2016
DE	20.10.2016
NL	20.10.2016
ES	20.10.2016
DE	20.10.2016
BG	20.10.2016
SE	20.10.2016
BG	20.10.2016
BG	20.10.2016
BG	20.10.2016
CH	20.10.2016
BG	20.10.2016
BG	20.10.2016
BG	20.10.2016
NO	20.10.2016
CH	20.10.2016
CH	20.10.2016
RE	20.10.2016
NL	20.10.2016
BG	20.10.2016
SI	20.10.2016
AT	20.10.2016
RE	20.10.2016
IT	20.10.2016
BG	20.10.2016
NO	20.10.2016
BG	20.10.2016
NL	20.10.2016
BG	20.10.2016
BG	20.10.2016
BG	20.10.2016
BG	20.10.2016
NO	20.10.2016
IT	20.10.2016
BG	20.10.2016
IT	20.10.2016
IE	20.10.2016
NO	20.10.2016
NO	20.10.2016
IE	20.10.2016
DK	20.10.2016
SE	20.10.2016
DE	20.10.2016
NO	20.10.2016
DE	20.10.2016
IT	20.10.2016
BG	20.10.2016
BG	20.10.2016
IE	20.10.2016
BG	20.10.2016
BG	20.10.2016
ES	20.10.2016
SE	20.10.2016
CH	20.10.2016
IS	20.10.2016
NO	20.10.2016
DK	20.10.2016
NL	20.10.2016
SI	20.10.2016
SE	20.10.2016
DE	20.10.2016
SI	20.10.2016
DE	20.10.2016
NL	20.10.2016
NO	20.10.2016
DE	20.10.2016
DE	20.10.2016
SK	20.10.2016
NO	20.10.2016
NL	20.10.2016
HU	20.10.2016
HU	20.10.2016
HU	20.10.2016
SE	20.10.2016
SE	20.10.2016
DE	20.10.2016
DE	20.10.2016
HU	20.10.2016
HU	20.10.2016
SE	20.10.2016
HU	20.10.2016
NO	20.10.2016
DE	20.10.2016
DE	20.10.2016
NO	20.10.2016
ES	20.10.2016
DE	20.10.2016
DE	20.10.2016
NL	20.10.2016
AT	20.10.2016
IT	20.10.2016
IT	20.10.2016
DE	20.10.2016
NL	20.10.2016
DE	20.10.2016
DE	20.10.2016
IS	20.10.2016
BE	20.10.2016
FR	20.10.2016
FR	20.10.2016
NL	20.10.2016
DE	20.10.2016
NL	20.10.2016
BE	20.10.2016
DE	20.10.2016
AT	20.10.2016
SE	20.10.2016
NL	20.10.2016
NL	20.10.2016
SE	20.10.2016
DE	20.10.2016
NL	20.10.2016
AT	20.10.2016
SE	20.10.2016
SE	20.10.2016
DK	20.10.2016
FR	20.10.2016
DE	20.10.2016
SE	20.10.2016
CZ	20.10.2016
CH	20.10.2016
SE	20.10.2016
DE	20.10.2016
SE	20.10.2016
CH	20.10.2016
CZ	20.10.2016
DK	20.10.2016
CH	20.10.2016
DE	20.10.2016
DE	20.10.2016
DE	20.10.2016
DE	20.10.2016
DE	20.10.2016
DE	20.10.2016
DE	20.10.2016
AT	20.10.2016
AT	20.10.2016
AT	20.10.2016
NZ	20.10.2016
NZ	20.10.2016
NZ	20.10.2016
AU	21.10.2016
KR	21.10.2016
KR	21.10.2016
KR	21.10.2016
AU	21.10.2016
AU	21.10.2016
NZ	21.10.2016
KR	21.10.2016
SG	21.10.2016
SG	21.10.2016
SG	21.10.2016
HU	21.10.2016
SE	21.10.2016
SI	21.10.2016
SI	21.10.2016
CH	21.10.2016
CH	21.10.2016
DE	21.10.2016
FR	21.10.2016
FR	21.10.2016
NL	21.10.2016
KR	21.10.2016
ES	21.10.2016
NO	21.10.2016
BE	21.10.2016
SE	21.10.2016
DE	21.10.2016
NL	21.10.2016
IT	21.10.2016
FI	21.10.2016
NL	21.10.2016
IT	21.10.2016
DK	21.10.2016
DE	21.10.2016
ES	21.10.2016
DE	21.10.2016
DE	21.10.2016
SE	21.10.2016
CH	21.10.2016
NO	21.10.2016
IT	21.10.2016
CH	21.10.2016
NO	21.10.2016
DE	21.10.2016
NO	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
FI	21.10.2016
SE	21.10.2016
FI	21.10.2016
DE	21.10.2016
FI	21.10.2016
DE	21.10.2016
DE	21.10.2016
BE	21.10.2016
CH	21.10.2016
DE	21.10.2016
ES	21.10.2016
NO	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
LT	21.10.2016
CH	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
NO	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DK	21.10.2016
DK	21.10.2016
DE	21.10.2016
DE	21.10.2016
CH	21.10.2016
DE	21.10.2016
ES	21.10.2016
DK	21.10.2016
DE	21.10.2016
DE	21.10.2016
DK	21.10.2016
AT	21.10.2016
DK	21.10.2016
DE	21.10.2016
DE	21.10.2016
IS	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
ES	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
NO	21.10.2016
DK	21.10.2016
ES	21.10.2016
ES	21.10.2016
CH	21.10.2016
SE	21.10.2016
SI	21.10.2016
CH	21.10.2016
CH	21.10.2016
DE	21.10.2016
ES	21.10.2016
SE	21.10.2016
NO	21.10.2016
NL	21.10.2016
DE	21.10.2016
NL	21.10.2016
DK	21.10.2016
IT	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
PL	21.10.2016
DE	21.10.2016
DE	21.10.2016
IE	21.10.2016
NO	21.10.2016
DK	21.10.2016
SE	21.10.2016
SE	21.10.2016
DK	21.10.2016
NO	21.10.2016
NO	21.10.2016
SE	21.10.2016
NO	21.10.2016
NO	21.10.2016
DE	21.10.2016
DK	21.10.2016
NL	21.10.2016
SE	21.10.2016
NO	21.10.2016
IS	21.10.2016
NL	21.10.2016
ES	21.10.2016
FR	21.10.2016
SE	21.10.2016
DK	21.10.2016
SE	21.10.2016
IE	21.10.2016
CH	21.10.2016
NO	21.10.2016
IT	21.10.2016
CH	21.10.2016
NO	21.10.2016
NL	21.10.2016
NL	21.10.2016
LB	21.10.2016
SE	21.10.2016
NL	21.10.2016
SE	21.10.2016
SE	21.10.2016
NO	21.10.2016
DE	21.10.2016
NO	21.10.2016
DE	21.10.2016
CA	21.10.2016
NO	21.10.2016
NO	21.10.2016
BE	21.10.2016
SE	21.10.2016
DK	21.10.2016
SE	21.10.2016
NL	21.10.2016
SE	21.10.2016
SE	21.10.2016
NO	21.10.2016
DE	21.10.2016
CZ	21.10.2016
DE	21.10.2016
AT	21.10.2016
SK	21.10.2016
CZ	21.10.2016
IE	21.10.2016
IE	21.10.2016
SK	21.10.2016
DE	21.10.2016
IE	21.10.2016
IE	21.10.2016
IE	21.10.2016
IE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
IE	21.10.2016
DE	21.10.2016
DE	21.10.2016
IE	21.10.2016
IE	21.10.2016
NL	21.10.2016
SE	21.10.2016
SE	21.10.2016
IE	21.10.2016
NL	21.10.2016
NL	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
DE	21.10.2016
CA	21.10.2016
DE	21.10.2016
DE	22.10.2016
DK	22.10.2016
DE	22.10.2016
DE	22.10.2016
DK	22.10.2016
CH	22.10.2016
DK	22.10.2016
DK	22.10.2016
DE	22.10.2016
DE	22.10.2016
DE	22.10.2016
DE	23.10.2016
DE	23.10.2016
DE	23.10.2016
DE	23.10.2016
DE	23.10.2016
DE	23.10.2016
DE	23.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
AT	24.10.2016
AT	24.10.2016
AT	24.10.2016
AU	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
NL	24.10.2016
CH	24.10.2016
DE	24.10.2016
DE	24.10.2016
CH	24.10.2016
AU	24.10.2016
AU	24.10.2016
AU	24.10.2016
DE	24.10.2016
DE	24.10.2016
AU	24.10.2016
DE	24.10.2016
DE	24.10.2016
CH	24.10.2016
DE	24.10.2016
SE	24.10.2016
DE	24.10.2016
CH	24.10.2016
CH	24.10.2016
CH	24.10.2016
DE	24.10.2016
SI	24.10.2016
NO	24.10.2016
SI	24.10.2016
DE	24.10.2016
AT	24.10.2016
SK	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
SE	24.10.2016
SK	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
SE	24.10.2016
DE	24.10.2016
PL	24.10.2016
DK	24.10.2016
PL	24.10.2016
DE	24.10.2016
PL	24.10.2016
KR	24.10.2016
HU	24.10.2016
DK	24.10.2016
DE	24.10.2016
CH	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
BE	24.10.2016
DE	24.10.2016
ES	24.10.2016
DE	24.10.2016
IT	24.10.2016
DE	24.10.2016
DE	24.10.2016
IT	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
CH	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NO	24.10.2016
DE	24.10.2016
DK	24.10.2016
DE	24.10.2016
DE	24.10.2016
GR	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
ES	24.10.2016
NO	24.10.2016
DE	24.10.2016
BE	24.10.2016
NO	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
SE	24.10.2016
NO	24.10.2016
SE	24.10.2016
DK	24.10.2016
DE	24.10.2016
NO	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NL	24.10.2016
NO	24.10.2016
DK	24.10.2016
NL	24.10.2016
DE	24.10.2016
SE	24.10.2016
DE	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
CZ	24.10.2016
SE	24.10.2016
DE	24.10.2016
NO	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
IT	24.10.2016
NL	24.10.2016
CH	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NO	24.10.2016
DE	24.10.2016
DE	24.10.2016
NO	24.10.2016
DE	24.10.2016
RE	24.10.2016
DE	24.10.2016
DE	24.10.2016
RE	24.10.2016
RE	24.10.2016
RE	24.10.2016
LU	24.10.2016
ES	24.10.2016
BG	24.10.2016
ES	24.10.2016
BG	24.10.2016
ES	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
BG	24.10.2016
DE	24.10.2016
BG	24.10.2016
AT	24.10.2016
IE	24.10.2016
HR	24.10.2016
DE	24.10.2016
BG	24.10.2016
AT	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
SE	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
SE	24.10.2016
AT	24.10.2016
DK	24.10.2016
SE	24.10.2016
DE	24.10.2016
SE	24.10.2016
DK	24.10.2016
DE	24.10.2016
NL	24.10.2016
CH	24.10.2016
DK	24.10.2016
CY	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
CH	24.10.2016
DK	24.10.2016
DE	24.10.2016
FR	24.10.2016
DE	24.10.2016
SE	24.10.2016
NL	24.10.2016
IT	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DK	24.10.2016
NL	24.10.2016
DK	24.10.2016
SE	24.10.2016
DK	24.10.2016
CH	24.10.2016
AT	24.10.2016
CH	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
FI	24.10.2016
NL	24.10.2016
DE	24.10.2016
DK	24.10.2016
DK	24.10.2016
DE	24.10.2016
DE	24.10.2016
AT	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NL	24.10.2016
NL	24.10.2016
NL	24.10.2016
SE	24.10.2016
NL	24.10.2016
DE	24.10.2016
IE	24.10.2016
FI	24.10.2016
IE	24.10.2016
NL	24.10.2016
ES	24.10.2016
NO	24.10.2016
NL	24.10.2016
IT	24.10.2016
CH	24.10.2016
NL	24.10.2016
DE	24.10.2016
DE	24.10.2016
CH	24.10.2016
FR	24.10.2016
PL	24.10.2016
DE	24.10.2016
PL	24.10.2016
NL	24.10.2016
NO	24.10.2016
NO	24.10.2016
NO	24.10.2016
FR	24.10.2016
PL	24.10.2016
NL	24.10.2016
NL	24.10.2016
DE	24.10.2016
NL	24.10.2016
SE	24.10.2016
DE	24.10.2016
IE	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
FR	24.10.2016
DE	24.10.2016
SE	24.10.2016
AT	24.10.2016
SE	24.10.2016
NO	24.10.2016
SE	24.10.2016
FR	24.10.2016
NO	24.10.2016
SE	24.10.2016
IE	24.10.2016
AT	24.10.2016
SE	24.10.2016
IE	24.10.2016
SE	24.10.2016
CH	24.10.2016
SE	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
ES	24.10.2016
DE	24.10.2016
SE	24.10.2016
SE	24.10.2016
AT	24.10.2016
SE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
IE	24.10.2016
NL	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
NO	24.10.2016
ES	24.10.2016
IT	24.10.2016
DE	24.10.2016
DE	24.10.2016
DE	24.10.2016
SE	24.10.2016
SE	24.10.2016
AT	24.10.2016
NL	24.10.2016
DE	24.10.2016
NL	24.10.2016
DE	24.10.2016
